IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.27.140,4,4,0.00,55.90,32.43
104.19.60.235,4,4,0.00,55.94,30.33
104.16.146.59,4,4,0.00,55.29,30.12
172.64.154.17,4,4,0.00,55.77,29.52
104.18.47.172,4,4,0.00,55.87,29.27
104.17.215.32,4,4,0.00,54.86,28.87
104.17.63.240,4,4,0.00,56.11,28.50
104.19.147.158,4,4,0.00,55.55,28.40
172.64.145.213,4,4,0.00,55.90,27.14
104.16.251.202,4,4,0.00,56.03,23.53
